timestamp,lap time,stroke count,stroke type,data source
2026-04-10T01:44:08Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T01:49:46Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T02:25:14Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:15:53Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:16:08Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:16:50Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:17:56Z,00:00:33.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:19:09Z,00:00:23.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:19:38Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:20:16Z,00:00:26.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:20:56Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:21:24Z,00:00:37.000,16,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:22:06Z,00:00:44.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:22:57Z,00:00:47.000,19,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:24:01Z,00:00:10.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:24:34Z,00:00:23.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:25:12Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:25:27Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:25:46Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:26:02Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T03:30:11Z,00:00:33.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:21:17Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:21:54Z,00:00:25.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:23:25Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:25:06Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:25:43Z,00:00:41.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:26:39Z,00:00:50.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:30:13Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:30:54Z,00:00:50.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:36:58Z,00:00:19.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:37:30Z,00:00:17.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T12:37:53Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
2026-04-10T14:21:10Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Inspire 3
