timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-04-11T09:50:00Z,20.8,0.0,Fitbit App
2026-04-11T09:55:00Z,21.4,0.0,Fitbit App
2026-04-11T10:00:00Z,15.8,0.0,Fitbit App
2026-04-11T10:05:00Z,19.3,0.0,Fitbit App
2026-04-11T10:10:00Z,20.1,0.0,Fitbit App
2026-04-11T10:15:00Z,21.5,0.0,Fitbit App
2026-04-11T10:20:00Z,19.7,0.0,Fitbit App
2026-04-11T10:25:00Z,19.7,0.0,Fitbit App
2026-04-11T10:30:00Z,20.2,0.0,Fitbit App
2026-04-11T10:35:00Z,20.3,0.0,Fitbit App
2026-04-11T10:40:00Z,18.5,0.0,Fitbit App
2026-04-11T10:45:00Z,19.1,0.0,Fitbit App
2026-04-11T10:50:00Z,24.9,0.0,Fitbit App
2026-04-11T10:55:00Z,25.0,0.0,Fitbit App
2026-04-11T11:00:00Z,27.2,0.0,Fitbit App
2026-04-11T11:05:00Z,20.2,0.0,Fitbit App
2026-04-11T11:10:00Z,25.9,0.0,Fitbit App
2026-04-11T11:15:00Z,21.0,0.0,Fitbit App
2026-04-11T11:20:00Z,16.4,0.0,Fitbit App
2026-04-11T11:25:00Z,20.0,0.0,Fitbit App
2026-04-11T11:30:00Z,24.4,0.0,Fitbit App
2026-04-11T11:35:00Z,28.1,0.0,Fitbit App
2026-04-11T11:40:00Z,26.5,0.0,Fitbit App
2026-04-11T11:45:00Z,30.7,0.0,Fitbit App
2026-04-11T11:50:00Z,28.6,0.0,Fitbit App
2026-04-11T11:55:00Z,27.3,0.0,Fitbit App
2026-04-11T12:00:00Z,22.6,0.0,Fitbit App
2026-04-11T12:05:00Z,28.8,0.0,Fitbit App
2026-04-11T12:10:00Z,28.0,0.0,Fitbit App
2026-04-11T12:15:00Z,25.1,0.0,Fitbit App
2026-04-11T12:20:00Z,25.2,0.0,Fitbit App
2026-04-11T12:25:00Z,26.4,0.0,Fitbit App
2026-04-11T12:30:00Z,32.5,0.0,Fitbit App
2026-04-11T12:35:00Z,30.8,0.0,Fitbit App
2026-04-11T12:40:00Z,27.7,0.0,Fitbit App
2026-04-11T12:45:00Z,28.8,0.0,Fitbit App
2026-04-11T12:50:00Z,24.2,0.0,Fitbit App
2026-04-11T12:55:00Z,26.1,0.0,Fitbit App
2026-04-11T13:00:00Z,17.5,0.0,Fitbit App
2026-04-11T13:05:00Z,19.6,0.0,Fitbit App
2026-04-12T05:55:00Z,30.5,0.0,Fitbit App
2026-04-12T06:10:00Z,32.7,0.0,Fitbit App
2026-04-12T06:15:00Z,31.4,0.0,Fitbit App
2026-04-12T06:20:00Z,27.2,0.0,Fitbit App
2026-04-12T06:50:00Z,27.6,0.0,Fitbit App
2026-04-12T06:55:00Z,36.8,0.0,Fitbit App
2026-04-12T07:00:00Z,29.7,0.0,Fitbit App
2026-04-12T07:40:00Z,22.2,0.0,Fitbit App
2026-04-12T07:50:00Z,35.0,0.0,Fitbit App
2026-04-12T07:55:00Z,29.8,0.0,Fitbit App
2026-04-12T08:00:00Z,27.6,0.0,Fitbit App
2026-04-12T08:05:00Z,36.3,0.0,Fitbit App
2026-04-12T08:15:00Z,19.2,0.0,Fitbit App
2026-04-12T08:20:00Z,30.8,0.0,Fitbit App
2026-04-12T08:25:00Z,36.2,0.0,Fitbit App
2026-04-12T08:30:00Z,33.5,0.0,Fitbit App
2026-04-12T08:35:00Z,28.5,0.0,Fitbit App
2026-04-12T08:40:00Z,25.3,0.0,Fitbit App
2026-04-12T08:45:00Z,28.4,0.0,Fitbit App
2026-04-12T08:50:00Z,27.2,0.0,Fitbit App
2026-04-12T08:55:00Z,21.3,0.0,Fitbit App
2026-04-12T09:00:00Z,27.4,0.0,Fitbit App
2026-04-12T09:05:00Z,24.4,0.0,Fitbit App
2026-04-12T09:10:00Z,20.7,0.0,Fitbit App
2026-04-12T09:15:00Z,21.9,0.0,Fitbit App
2026-04-12T09:20:00Z,22.7,0.0,Fitbit App
2026-04-12T09:25:00Z,23.3,0.0,Fitbit App
2026-04-12T09:30:00Z,24.6,0.0,Fitbit App
2026-04-12T09:35:00Z,20.3,0.0,Fitbit App
2026-04-12T09:40:00Z,18.5,0.0,Fitbit App
2026-04-12T09:45:00Z,19.0,0.0,Fitbit App
2026-04-12T09:50:00Z,21.9,0.0,Fitbit App
2026-04-12T09:55:00Z,21.8,0.0,Fitbit App
2026-04-12T10:00:00Z,22.7,0.0,Fitbit App
2026-04-12T10:05:00Z,22.5,0.0,Fitbit App
2026-04-12T10:10:00Z,17.9,0.0,Fitbit App
2026-04-12T10:15:00Z,23.2,0.0,Fitbit App
2026-04-12T10:20:00Z,26.0,0.0,Fitbit App
2026-04-12T10:25:00Z,26.3,0.0,Fitbit App
2026-04-12T10:30:00Z,22.7,0.0,Fitbit App
2026-04-12T10:35:00Z,27.7,0.0,Fitbit App
2026-04-12T10:40:00Z,23.7,0.0,Fitbit App
2026-04-12T10:45:00Z,23.5,0.0,Fitbit App
2026-04-12T10:50:00Z,21.5,0.0,Fitbit App
2026-04-12T10:55:00Z,26.1,0.0,Fitbit App
2026-04-12T11:00:00Z,21.3,0.0,Fitbit App
2026-04-12T11:05:00Z,30.8,0.0,Fitbit App
2026-04-12T11:10:00Z,25.2,0.0,Fitbit App
2026-04-12T11:15:00Z,21.2,0.0,Fitbit App
2026-04-12T11:20:00Z,24.8,0.0,Fitbit App
2026-04-12T11:25:00Z,29.6,0.0,Fitbit App
2026-04-12T11:30:00Z,27.5,0.0,Fitbit App
2026-04-12T11:35:00Z,32.6,0.0,Fitbit App
2026-04-12T11:40:00Z,36.3,0.0,Fitbit App
2026-04-12T11:45:00Z,24.3,0.0,Fitbit App
2026-04-12T11:50:00Z,27.6,0.0,Fitbit App
