timestamp,steps,data source
2026-04-08T20:48:00Z,39,Inspire 3
2026-04-08T20:49:00Z,20,Inspire 3
2026-04-08T20:50:00Z,12,Inspire 3
2026-04-08T21:10:00Z,16,Inspire 3
2026-04-08T21:11:00Z,13,Inspire 3
2026-04-08T21:14:00Z,9,Inspire 3
2026-04-08T21:15:00Z,19,Inspire 3
2026-04-08T21:16:00Z,32,Inspire 3
2026-04-08T21:17:00Z,14,Inspire 3
2026-04-08T21:19:00Z,16,Inspire 3
2026-04-08T21:20:00Z,32,Inspire 3
2026-04-08T21:30:00Z,15,Inspire 3
2026-04-08T21:31:00Z,5,Inspire 3
2026-04-08T21:33:00Z,9,Inspire 3
2026-04-08T22:14:00Z,23,Inspire 3
2026-04-08T22:15:00Z,53,Inspire 3
2026-04-08T22:16:00Z,26,Inspire 3
2026-04-08T22:18:00Z,20,Inspire 3
2026-04-08T22:19:00Z,16,Inspire 3
2026-04-08T22:23:00Z,8,Inspire 3
2026-04-08T22:24:00Z,11,Inspire 3
2026-04-08T22:26:00Z,27,Inspire 3
2026-04-08T22:27:00Z,34,Inspire 3
2026-04-08T22:28:00Z,49,Inspire 3
2026-04-08T22:30:00Z,25,Inspire 3
2026-04-08T22:31:00Z,8,Inspire 3
2026-04-08T22:33:00Z,14,Inspire 3
2026-04-08T22:34:00Z,7,Inspire 3
2026-04-08T22:35:00Z,9,Inspire 3
2026-04-08T22:36:00Z,35,Inspire 3
2026-04-08T22:37:00Z,8,Inspire 3
2026-04-08T22:40:00Z,8,Inspire 3
2026-04-08T22:41:00Z,13,Inspire 3
2026-04-08T22:43:00Z,10,Inspire 3
2026-04-08T22:44:00Z,24,Inspire 3
2026-04-08T22:45:00Z,50,Inspire 3
2026-04-08T22:46:00Z,49,Inspire 3
2026-04-08T22:48:00Z,48,Inspire 3
2026-04-08T22:50:00Z,40,Inspire 3
2026-04-08T22:53:00Z,24,Inspire 3
2026-04-08T22:59:00Z,5,Inspire 3
2026-04-08T23:02:00Z,9,Inspire 3
2026-04-08T23:06:00Z,5,Inspire 3
2026-04-08T23:08:00Z,23,Inspire 3
2026-04-08T23:09:00Z,22,Inspire 3
2026-04-08T23:10:00Z,29,Inspire 3
2026-04-08T23:17:00Z,9,Inspire 3
2026-04-08T23:19:00Z,13,Inspire 3
2026-04-08T23:20:00Z,19,Inspire 3
2026-04-08T23:21:00Z,43,Inspire 3
2026-04-08T23:22:00Z,6,Inspire 3
2026-04-08T23:23:00Z,27,Inspire 3
2026-04-08T23:24:00Z,1,Inspire 3
2026-04-08T23:26:00Z,21,Inspire 3
2026-04-08T23:30:00Z,11,Inspire 3
2026-04-08T23:31:00Z,17,Inspire 3
2026-04-08T23:32:00Z,6,Inspire 3
2026-04-08T23:36:00Z,56,Inspire 3
2026-04-08T23:37:00Z,70,Inspire 3
2026-04-08T23:38:00Z,58,Inspire 3
2026-04-08T23:39:00Z,29,Inspire 3
2026-04-08T23:40:00Z,31,Inspire 3
2026-04-08T23:41:00Z,14,Inspire 3
2026-04-08T23:42:00Z,18,Inspire 3
2026-04-08T23:43:00Z,12,Inspire 3
2026-04-08T23:45:00Z,6,Inspire 3
2026-04-08T23:46:00Z,24,Inspire 3
2026-04-08T23:47:00Z,6,Inspire 3
2026-04-08T23:48:00Z,17,Inspire 3
2026-04-08T23:49:00Z,9,Inspire 3
2026-04-08T23:50:00Z,33,Inspire 3
2026-04-08T23:51:00Z,19,Inspire 3
2026-04-08T23:52:00Z,13,Inspire 3
2026-04-08T23:53:00Z,17,Inspire 3
2026-04-08T23:54:00Z,27,Inspire 3
2026-04-08T23:55:00Z,7,Inspire 3
2026-04-08T23:56:00Z,7,Inspire 3
2026-04-08T23:57:00Z,26,Inspire 3
2026-04-08T23:58:00Z,53,Inspire 3
2026-04-08T23:59:00Z,46,Inspire 3
2026-04-09T00:00:00Z,35,Inspire 3
2026-04-09T00:01:00Z,9,Inspire 3
2026-04-09T00:02:00Z,5,Inspire 3
2026-04-09T00:03:00Z,49,Inspire 3
2026-04-09T00:04:00Z,9,Inspire 3
2026-04-09T00:05:00Z,5,Inspire 3
2026-04-09T00:06:00Z,25,Inspire 3
2026-04-09T00:07:00Z,14,Inspire 3
2026-04-09T00:14:00Z,6,Inspire 3
2026-04-09T00:15:00Z,31,Inspire 3
2026-04-09T00:17:00Z,30,Inspire 3
2026-04-09T00:18:00Z,13,Inspire 3
2026-04-09T00:19:00Z,38,Inspire 3
2026-04-09T00:20:00Z,1,Inspire 3
2026-04-09T00:26:00Z,9,Inspire 3
2026-04-09T00:27:00Z,8,Inspire 3
2026-04-09T00:30:00Z,14,Inspire 3
2026-04-09T00:32:00Z,9,Inspire 3
2026-04-09T00:34:00Z,17,Inspire 3
2026-04-09T00:35:00Z,6,Inspire 3
2026-04-09T00:41:00Z,18,Inspire 3
2026-04-09T00:43:00Z,21,Inspire 3
2026-04-09T00:44:00Z,14,Inspire 3
2026-04-09T00:45:00Z,9,Inspire 3
2026-04-09T00:46:00Z,16,Inspire 3
2026-04-09T00:47:00Z,43,Inspire 3
2026-04-09T00:48:00Z,22,Inspire 3
2026-04-09T00:50:00Z,12,Inspire 3
2026-04-09T00:51:00Z,26,Inspire 3
2026-04-09T00:52:00Z,14,Inspire 3
2026-04-09T00:53:00Z,23,Inspire 3
2026-04-09T00:54:00Z,5,Inspire 3
2026-04-09T00:55:00Z,23,Inspire 3
2026-04-09T00:56:00Z,20,Inspire 3
2026-04-09T00:57:00Z,12,Inspire 3
2026-04-09T00:58:00Z,24,Inspire 3
2026-04-09T00:59:00Z,5,Inspire 3
2026-04-09T01:00:00Z,39,Inspire 3
2026-04-09T01:01:00Z,8,Inspire 3
2026-04-09T01:09:00Z,19,Inspire 3
2026-04-09T01:10:00Z,14,Inspire 3
2026-04-09T01:12:00Z,4,Inspire 3
2026-04-09T01:13:00Z,18,Inspire 3
2026-04-09T01:14:00Z,26,Inspire 3
2026-04-09T01:15:00Z,52,Inspire 3
2026-04-09T01:16:00Z,23,Inspire 3
2026-04-09T01:18:00Z,7,Inspire 3
2026-04-09T01:19:00Z,15,Inspire 3
2026-04-09T01:22:00Z,7,Inspire 3
2026-04-09T01:31:00Z,7,Inspire 3
2026-04-09T02:47:00Z,7,Inspire 3
2026-04-09T03:08:00Z,13,Inspire 3
2026-04-09T03:13:00Z,7,Inspire 3
2026-04-09T03:14:00Z,27,Inspire 3
2026-04-09T03:16:00Z,28,Inspire 3
2026-04-09T03:17:00Z,9,Inspire 3
2026-04-09T03:18:00Z,11,Inspire 3
2026-04-09T03:22:00Z,14,Inspire 3
2026-04-09T03:23:00Z,13,Inspire 3
2026-04-09T03:27:00Z,22,Inspire 3
2026-04-09T03:28:00Z,7,Inspire 3
2026-04-09T03:29:00Z,25,Inspire 3
2026-04-09T03:47:00Z,7,Inspire 3
2026-04-09T03:50:00Z,4,Inspire 3
2026-04-09T03:52:00Z,13,Inspire 3
2026-04-09T03:53:00Z,22,Inspire 3
2026-04-09T03:54:00Z,4,Inspire 3
2026-04-09T04:27:00Z,14,Inspire 3
2026-04-09T04:44:00Z,7,Inspire 3
2026-04-09T05:02:00Z,8,Inspire 3
2026-04-09T05:37:00Z,18,Inspire 3
2026-04-09T05:39:00Z,9,Inspire 3
2026-04-09T05:40:00Z,8,Inspire 3
